filename;p1.x;p1.y;p1.w;p1.h;p2.x;p2.y;p2.w;p2.h
media/images/029AwqdH868-000000.jpg;765.3577423095703;394.8919343948364;133.54354858398438;271.5088176727295;;;;
media/images/029AwqdH868-001500.jpg;318.94429206848145;476.8504464626312;184.79360580444336;484.9603199958801;883.0443756449948;401.6224197247707;149.1640866873065;296.6955275229358
media/images/029AwqdH868-002000.jpg;338.4104061126709;453.1814110279083;150.3032112121582;437.7658438682556;969.0576934814453;404.88236904144287;112.11624145507812;315.8177947998047
media/images/029AwqdH868-002500.jpg;1043.086929321289;417.18045830726624;172.73086547851562;258.21619749069214;352.25826263427734;443.22935779816515;138.3263397216797;384.4403669724771
media/images/029AwqdH868-003000.jpg;1053.4693908691406;403.57340812683105;117.27218627929688;258.32934379577637;361.6150670794634;439.0931766055046;182.6418988648091;357.0842889908257
media/images/029AwqdH868-003500.jpg;1012.6376342773438;395.8549118041992;120.44754028320312;274.66060638427734;332.85087719298247;442.2178899082569;134.39112487100104;405.6502293577982
media/images/029AwqdH868-004000.jpg;947.3798370361328;392.89302349090576;130.458984375;258.2776737213135;319.2672858617131;429.0172018348624;163.62229102167183;421.85435779816515
media/images/029AwqdH868-004500.jpg;293.42098236083984;450.68442463874817;163.72573852539062;429.9880385398865;902.1089172363281;396.1260938644409;109.144287109375;286.9863224029541
media/images/029AwqdH868-005000.jpg;280.9200096130371;455.3655767440796;154.02225494384766;435.8686637878418;902.8903198242188;394.42676424980164;102.0074462890625;276.49276971817017
media/images/029AwqdH868-005500.jpg;311.72290802001953;455.7282543182373;170.9734344482422;411.77324295043945;910.1947021484375;392.4580764770508;96.33636474609375;288.5177993774414
media/images/029AwqdH868-006000.jpg;917.8781890869141;393.90119075775146;101.53579711914062;287.81810760498047;316.7018508911133;485.0299072265625;149.82254028320312;354.14154052734375
media/images/029AwqdH868-006500.jpg;319.52383041381836;479.81663703918457;142.80651092529297;324.68968391418457;917.1874237060547;394.04460310935974;100.76156616210938;280.0907063484192
media/images/029AwqdH868-007000.jpg;910.5388641357422;393.91188740730286;100.89447021484375;283.4826064109802;319.5011901855469;482.3634910583496;143.4410858154297;325.1355743408203
media/images/029AwqdH868-007500.jpg;320.6913757324219;482.83581733703613;145.340576171875;327.5858688354492;890.4084014892578;397.3823118209839;112.81936645507812;283.0978488922119
media/images/029AwqdH868-008000.jpg;329.024658203125;481.40235900878906;126.84822082519531;329.8135185241699;871.7777252197266;399.20189023017883;90.32150268554688;305.0836157798767
media/images/029AwqdH868-008500.jpg;891.7841339111328;400.1664876937866;119.20211791992188;297.11194038391113;332.19882011413574;483.4734535217285;121.27222061157227;326.3510227203369
media/images/029AwqdH868-009000.jpg;895.8409118652344;400.31201362609863;118.57162475585938;301.4731693267822;322.4433898925781;483.97865295410156;138.8292694091797;315.179386138916
media/images/029AwqdH868-009500.jpg;890.4603576660156;402.7375030517578;124.91851806640625;306.7540740966797;321.5331268310547;485.19731998443604;140.0409698486328;312.45022773742676
media/images/029AwqdH868-010000.jpg;894.4020080566406;401.90296053886414;118.8055419921875;304.812433719635;321.16000175476074;485.4750680923462;140.00360488891602;305.42378425598145
media/images/029AwqdH868-010500.jpg;900.7669830322266;398.30211639404297;114.29443359375;299.11685943603516;321.4973831176758;484.68087673187256;140.76004028320312;306.172399520874
media/images/029AwqdH868-011000.jpg;900.7994079589844;402.11849212646484;115.03616333007812;299.2606258392334;317.9395008087158;478.24395060539246;156.10479354858398;366.62718057632446
media/images/029AwqdH868-011500.jpg;315.15647888183594;451.082968711853;159.4647216796875;424.35954093933105;899.8764801025391;400.30479311943054;120.11917114257812;300.8383011817932
media/images/029AwqdH868-012000.jpg;278.30339431762695;454.7143363952637;180.77014923095703;435.1443386077881;901.2757110595703;401.95245265960693;112.9046630859375;308.25345039367676
media/images/029AwqdH868-012500.jpg;298.2267379760742;455.95755100250244;190.88363647460938;441.57992362976074;902.4501037597656;401.92970752716064;110.16677856445312;308.7007999420166
media/images/029AwqdH868-013000.jpg;332.73070335388184;463.45494747161865;156.29350662231445;411.20555877685547;889.2945098876953;398.773455619812;111.32110595703125;308.3742141723633
media/images/029AwqdH868-013500.jpg;331.62364959716797;465.0528573989868;154.7624969482422;416.2087154388428;827.8462982177734;406.06008410453796;175.18218994140625;269.44727182388306
media/images/029AwqdH868-014000.jpg;280.7606506347656;467.90045142173767;198.81065368652344;454.0701985359192;726.5975952148438;408.5459232330322;150.69122314453125;304.7765350341797
media/images/029AwqdH868-014500.jpg;183.7565040588379;490.1565742492676;167.98934936523438;447.56824493408203;609.1494369506836;400.71292877197266;122.79075622558594;288.79005432128906
media/images/029AwqdH868-015000.jpg;172.68882751464844;476.01208448410034;328.1703186035156;506.2282419204712;578.0149078369141;420.45690536499023;124.25811767578125;300.5979537963867
media/images/029AwqdH868-015500.jpg;590.2742004394531;428.5192394256592;130.33966064453125;297.9671573638916;180.32691955566406;531.1090672016144;354.59930419921875;384.37074422836304
media/images/029AwqdH868-016000.jpg;572.2721672058105;410.3614890575409;173.8016128540039;259.8069405555725;376.553316116333;502.3444998264313;353.24636459350586;432.6857829093933
